"table_catalog","table_schema","table_name","column_name","ordinal_position","column_default","is_nullable","data_type","comment","extra_info"
"awsdatacatalog","default","asset_de_history_sf","id","1",,"YES","varchar",,
"awsdatacatalog","default","asset_de_history_sf","isdeleted","2",,"YES","boolean",,
"awsdatacatalog","default","asset_de_history_sf","parentid","3",,"YES","varchar",,
"awsdatacatalog","default","asset_de_history_sf","createdbyid","4",,"YES","varchar",,
"awsdatacatalog","default","asset_de_history_sf","createddate","5",,"YES","varchar",,
"awsdatacatalog","default","asset_de_history_sf","field","6",,"YES","varchar",,
"awsdatacatalog","default","asset_de_history_sf","datatype","7",,"YES","varchar",,
"awsdatacatalog","default","asset_de_history_sf","oldvalue","8",,"YES","varchar",,
"awsdatacatalog","default","asset_de_history_sf","newvalue","9",,"YES","varchar",,
"awsdatacatalog","default","asset_de_sf","id","1",,"YES","varchar",,
"awsdatacatalog","default","asset_de_sf","ownerid","2",,"YES","varchar",,
"awsdatacatalog","default","asset_de_sf","isdeleted","3",,"YES","boolean",,
"awsdatacatalog","default","asset_de_sf","name","4",,"YES","varchar",,
"awsdatacatalog","default","asset_de_sf","createddate","5",,"YES","varchar",,
"awsdatacatalog","default","asset_de_sf","createdbyid","6",,"YES","varchar",,
"awsdatacatalog","default","asset_de_sf","lastmodifieddate","7",,"YES","varchar",,
"awsdatacatalog","default","asset_de_sf","lastmodifiedbyid","8",,"YES","varchar",,
"awsdatacatalog","default","asset_de_sf","systemmodstamp","9",,"YES","varchar",,
"awsdatacatalog","default","asset_de_sf","lastvieweddate","10",,"YES","varchar",,
"awsdatacatalog","default","asset_de_sf","lastreferenceddate","11",,"YES","varchar",,
"awsdatacatalog","default","asset_de_sf","added_by__c","12",,"YES","varchar",,
"awsdatacatalog","default","asset_de_sf","added_to_fleet__c","13",,"YES","varchar",,
"awsdatacatalog","default","asset_de_sf","asset_unique_name__c","14",,"YES","varchar",,
"awsdatacatalog","default","asset_de_sf","asset_added_by__c","15",,"YES","varchar",,
"awsdatacatalog","default","asset_de_sf","assigned_member__c","16",,"YES","varchar",,
"awsdatacatalog","default","asset_de_sf","last_repaired_by__c","17",,"YES","varchar",,
"awsdatacatalog","default","asset_de_sf","last_service_date__c","18",,"YES","varchar",,
